yiddish	qid	kima_id	kima_rom	kima_heb	lat	lon	label_en	occurrences	fields
דעטראָיט	Q12439	903	Detroit (Mich.)	דטרויט (מישיגן)	42.331666666667	-83.0475		64	settlements
אמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	62	countries;settlements;venues
ריגע	Q1773	60	Riga (Latvia)	ריגה (לטביה)	56.9475	24.106944444444		60	province;settlements
קראָקע	Q31487	489	Krakow (Poland)	קרקוב (פולין)	50.061388888889	19.937222222222		59	settlements
שיקאַגאָ	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		59	settlements
כאַרקאָוו	Q42308	8380	Kharkiv (Ukraine)	חרקוב (אוקראינה)	49.9925	36.2311111111111		58	settlements
קאָוונע	Q4115712	382	Kaunas (Lithuania)	קובנה (ליטא)	54.9	23.933333333333		53	province;settlements
בעסאַראַביע	Q174994	1775	Bessarabia (Moldova and Ukraine)	בסרביה (מולדובה-אוקראינה)	46.833333333333	29.0	Bessarabia	52	place;province;settlements;venues
טשערנאָוויץ	Q157725	6918	Chernivt︠s︡i (Ukraine)	צ'רנוביץ (אוקראינה)	48.290833333333	25.934444444444		49	province;settlements
פּאַריז	Q90	419	Paris (France)	פריס (צרפת)	48.856577777778	2.3518277777778		43	settlements
בוקאַרעסט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		41	settlements
ליטע	Q37	12464	Lithuania	ליטא	55.2	24.0		41	countries;province;settlements;venues
פֿילאַדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		41	settlements
באָסטאָן	Q100	516	Boston (Mass.)	בוסטון (מסצ'וסטס)	42.3602777777778	-71.0577777777778		37	settlements
אָרגענטינע	Q414	7805	Argentina	ארגנטינה	-34.0	-64.0	Argentina	35	countries;settlements;venues
קליוולאַנד	Q37320	402	Cleveland (Ohio)	קליבלנד (אוהיו)	41.482222222222	-81.669722222222		35	settlements
בוענאָס איירעס	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444		33	province;settlements
ביאַליסטאָק	Q761	523	Białystok (Poland)	ביאליסטוק (פולין)	53.116666666667	23.166666666667		33	province;settlements
לובלין	Q37333	174	Lublin (Poland)	לובלין (פולין)	51.25	22.566666666667		32	province;settlements
פאַריז	Q90	419	Paris (France)	פריס (צרפת)	48.856577777778	2.3518277777778		32	country;province;settlements
ברוקלין	Q18419	529	Brooklyn (New York, N.Y.)	ברוקלין (ניו יורק, נ.י.)	40.65083	-73.94972		29	province;settlements
יאָסי	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889		29	settlements
לעטלאַנד	Q211	9788	Latvia	לטביה	57.0	25.0		27	countries;venues
שיקאַגע	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		27	settlements
בעסאַראָביע	Q174994	1775	Bessarabia (Moldova and Ukraine)	בסרביה (מולדובה-אוקראינה)	46.833333333333	29.0	Bessarabia	25	province;settlements;venues
גראָדנע	Q181376	882	Hrodna (Belarus)	גרודנו (בלארוס)	53.666666666667	23.816666666667		25	settlements
בוקאַרעשט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		22	settlements
שיקאָגאָ	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		22	settlements
אָמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	21	countries;settlements;venues
נ. י.	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		21	place;province;settlements;venues
פֿילאָדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		21	settlements
דרום-אפריקע	Q258	2394	South Africa	דרום אפריקה	-29.0	24.0	South Africa	20	countries;place;settlements
קעשענעוו	Q21197	399	Chișinău (Moldova)	קישינב (מולדובה)	47.0227777777778	28.8352777777778		18	settlements
ישראל	Q801	697	Israel	ישראל	31.0	35.0		17	countries;venues
אָרץ-ישראל	Q801	697	Israel	ישראל	31.0	35.0	Land of Israel	14	countries;settlements;venues
בראַנקס		10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	40.84676	-73.873207	Bronx	14	addresses;settlements;venues
טשענסטאָכאָוו	Q103217	427	Częstochowa (Poland)	צ'נסטוחובה (פולין)	50.80964	19.12217		13	settlements
מעקסיקאָ	Q1489	7033	Mexico City (Mexico)	מקסיקו סיטי (מקסיקו)	19.419444444444	-99.145555555556	Mexico City	13	countries;settlements
סט. לואיס	Q38022	109	Saint Louis (Mo.)	סנט לואיס (מיזורי)	38.6263888888889	-90.1994444444444		13	settlements
יאָס	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889		12	settlements
קאָנסטאַנטינאָפּאָל	Q406	533	Istanbul (Turkey)	איסטנבול (תורכיה)	41.01	28.960277777		12	settlements
טאָראַנטאָ	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		11	settlements
ירושלים	Q1218	691	Jerusalem (Israel)	ירושלים (ישראל)	31.7788888888889	35.2255555555556		11	settlements
לאָס-אַנדזשעלעס	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368		11	settlements
לאָדזש	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667		11	settlements;venues
תל-אביב	Q33935	272	Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	32.08	34.78		11	settlements
באַקו	Q9248	507	Baku (Azerbaijan)	באקו (אזרביג'ן)	40.366655555556	49.835183333333	Baku	10	settlements
באָלטימאָר	Q5092	515	Baltimore (Md.)	בולטימור (מרילנד)	39.286388888889	-76.615		10	settlements
בערדיטשעוו	Q158799	571	Berdychiv (Ukraine)	ברדיצ'ב (אוקראינה)	49.891944444444	28.6		10	settlements
דאַנציג	Q1792	920	Gdańsk (Poland)	גדנסק (פולין)	54.3482907	18.6540233		10	settlements
ניו יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		10	settlements
בודאָפּעסט	Q1781	513	Budapest (Hungary)	בודפסט (הונגריה)	47.498333333	19.040833333		9	settlements
בראַזיל	Q155	7255	Brazil	ברזיל	-14.0	-53.0		9	countries;place;venues
גאַלאַץ		9622	Galați (Romania : Județ)	גאלאץ (רומניה : מחוז)				9	settlements
דעטראיט	Q12439	903	Detroit (Mich.)	דטרויט (מישיגן)	42.331666666667	-83.0475		9	settlements
וויניפּעג	Q2096	737	Edmonton (Alta.)	אדמונטון (אלברטה)	53.533333333333	-113.5	Winnipeg	9	settlements
וויניצע	Q157144	946	Vinnyt︠s︡i︠a︡ (Ukraine)	ויניצה (אוקראינה)	49.237222222222	28.467222222222		9	settlements
מילוואָקי	Q37836	7493	Milwaukee (Wis.)	מילווקי (ויסקונסין)	43.05	-87.95		9	settlements
פינסק	Q204150	409	Pinsk (Belarus)	פינסק (בלארוס)	52.1152777777778	26.1030555555556		9	settlements
קורלאַנד		3418	Courland (Latvia)	קורלנד (לטביה)				9	province;settlements
בוענאָס-איירעס	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444		8	settlements
בעלץ	Q37801	18584	Bălți (Moldova)	בלץ (מולדובה)	47.761666666667	27.928888888889		8	settlements
וואַרשעווער	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111	Warsaw	8	settlements;venues
וויטעבסק	Q102217	942	Vitsebsk (Belarus)	ויטבסק (בלארוס)	55.183333333333	30.166666666667		8	settlements
לאָדזשער געטאָ	Q327895	27130	Litzmannstadt-Getto (Łódź, Poland)	גיטו ליצמנשטט (לודז', פולין)	51.801389	19.441389	Łódź Ghetto	8	province;settlements;venues
ליבאַווע	Q167668	679	Liepāja (Latvia)	ליפאיה (לטביה)	56.508333333333	21.011111111111	Liepāja	8	settlements
נואַרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		8	settlements
פּשעמישל	Q208473	424	Przemyśl (Poland)	פשמישל (פולין)	49.783333333	22.766666666		8	province;settlements
פֿילאָדעלפֿיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		8	settlements
ארץ-ישראל	Q801	697	Israel	ישראל	31.0	35.0	Land of Israel	7	countries;settlements
באַלטימאָר	Q5092	515	Baltimore (Md.)	בולטימור (מרילנד)	39.286388888889	-76.615		7	settlements
באָברויסק	Q207294	512	Babruĭsk (Belarus)	בוברויסק (בלארוס)	53.15	29.233333333		7	settlements
בריסק	Q140147	576	Brest (Belarus)	בריסק (בלארוס)	52.084722222222	23.656944444444		7	settlements
כאָרקאָוו	Q42308	8380	Kharkiv (Ukraine)	חרקוב (אוקראינה)	49.9925	36.2311111111111		7	settlements
מינכען	Q1726	234	Munich (Germany)	מינכן (גרמניה)	48.1375	11.575	Munich	7	settlements
ניקאָלאַיעוו	Q41572	10962	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	מיקולייב (מחוז מיקולייב, אוקראינה)	46.966666666667	32.0	Mykolaiv	7	settlements
פּאָדאָליע	Q191607	2226	Podillia (Ukraine)	פודיליה (אוקראינה)	48.683333333333	26.583333333333		7	province
קאָלאָמיי	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	48.516666666667	25.033333333333		7	settlements
שווייץ	Q39	7931	Switzerland	שווייץ	46.798562	8.231973		7	countries;venues
בראָדי	Q465104	677	Brody (Ukraine)	ברודי (אוקראינה)	50.078055555556	25.154166666667		6	province;settlements
האָמעל	Q2678	10963	Homelʹ (Belarus)	הומל (בלארוס)	52.441666666667	30.983333333333	Homel	6	settlements
וואַרשאַ	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111	Warsaw	6	settlements
יאַסי	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889		6	settlements
מיאמי	Q8652	229	Miami (Fla.)	מיאמי (פלורידה)	25.783333333333	-80.216666666667		6	settlements
מעץ	Q22690	672	Metz (France)	מץ (צרפת)	49.119722222222	6.1769444444444	Metz	6	settlements
ניויאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		6	settlements
סינסינעטי	Q43196	7550	Cincinnati (Ohio)	סינסינטי (אוהיו)	39.1	-84.5125		6	settlements
ריישע	Q598	451	Rzeszów (Poland)	רישא (פולין)	50.05	22.0		6	settlements
אַנטווערפן	Q12892	643	Antwerp (Belgium)	אנטורפן (בלגיה)	51.2211111111111	4.39972222222222	Antwerp	5	settlements
ארגענטינע	Q414	7805	Argentina	ארגנטינה	-34.0	-64.0	Argentina	5	countries;settlements
טאַרנאָפּאָל	Q156743	11525	Ternopilʹ (Ukraine)	טרנופול (אוקראינה)	49.566666666667	25.6		5	settlements
טאָראָנטאָ	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		5	settlements
יפו	Q180294	629	Jaffa (Tel Aviv-Yafo, Israel)	יפו (תל אביב-יפו, ישראל)	32.052222222222	34.753055555556		5	settlements
לאָס אָנדזשעלעס	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368		5	settlements
לענינגראָד	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		5	settlements
ניו יאָָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		5	province;settlements
סלאָנים	Q863576	102	Slonim (Belarus)	סלונים (בלארוס)	53.083333333333	25.316666666667		5	settlements
פּאָלטאַווע	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	5	settlements
פּאָלטאָווע	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	5	settlements
קאָליפֿאָרניע	Q99	7652	California	קליפורניה	37.0	-120.0	California	5	province;settlements
קעניגסבערג	Q1829	405	Kaliningrad (Russia)	קלינינגרד (רוסיה)	54.716666666	20.5		5	province;settlements
ראַדאָם	Q104740	636	Radom (Województwo Mazowieckie, Poland)	ראדום (מדינת מזובייצק, פולין)	51.40253	21.14714		5	settlements
USA	Q30	6421	United States	ארצות הברית	39.828175	-98.5795		4	countries
אַרץ ישראל	Q155321	2501	Eretz Israel	ארץ ישראל	31.0	35.0		4	countries
ארץ ישראל	Q155321	2501	Eretz Israel	ארץ ישראל	31.0	35.0		4	countries
באָלטימאַר	Q5092	515	Baltimore (Md.)	בולטימור (מרילנד)	39.286388888889	-76.615		4	settlements
באָקו	Q9248	507	Baku (Azerbaijan)	באקו (אזרביג'ן)	40.366655555556	49.835183333333	Baku	4	settlements
בוקאָרעסט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		4	settlements
בענדין	Q461513	621	Będzin (Poland)	בנדין (פולין)	50.325	19.1333333333333		4	settlements
בראָד	Q465104	677	Brody (Ukraine)	ברודי (אוקראינה)	50.078055555556	25.154166666667		4	settlements
בראנקס		10787	Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	40.84676	-73.873207	Bronx	4	settlements;venues
וואַשינגטאָן	Q61	954	Washington (D.C.)	ושינגטון (די. סי.)	38.895	-77.036666666667	Washington, D.C.	4	settlements
יאסי	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889		4	settlements
יעליסאַוועטגראָד	Q158292	14587	Kirovohrad (Ukraine)	קירובגרד (אוקראינה)	48.510277777778	32.266666666667		4	settlements;venues
לייפּציג	Q2079	579	Leipzig (Germany)	ליפציג (גרמניה)	51.34	12.375		4	settlements
מאָהילעוו	Q997469	18781	Mohyliv-Podilʹsʹkyĭ (Ukraine)	מויליב-פודילסקי (אוקראינה)	48.45	27.783333333333	Mogilev	4	settlements
מילוואַקיי	Q37836	7493	Milwaukee (Wis.)	מילווקי (ויסקונסין)	43.05	-87.95	Milwaukee	4	settlements
מעלבורן	Q3141	632	Melbourne (Vic.)	מלבורן (ויקטוריה)	-37.8141666666667	144.963055555556		4	settlements
פּעטראָגראָד	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		4	settlements
פילאַדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		4	settlements;venues
פילאדעלפיע	Q1345	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	39.952777777778	-75.163611111111		4	settlements
קאָפּענהאָגן	Q1748	390	Copenhagen (Denmark)	קופנהגן (דנמרק)	55.676111111111	12.568888888889		4	settlements
קובאַ	Q647982	18742	Quba (Azerbaijan)	קובה (אזרבייג'ן)	41.365277777778	48.526388888889		4	countries;venues
קרים	Q7835	17099	Crimea (Ukraine)	קרים (אוקראינה)	45.0	34.0		4	place;province;venues
ראָוונע	Q156739	1728	Rivne (Rivnensʹka oblastʹ, Ukraine)	רובנו (מחוז רובנו, אוקראינה)	50.619722222222	26.251388888889		4	settlements
שיקאָגאַ	Q1297	282	Chicago (Ill.)	שיקגו (אילינוי)	41.85003	-87.65005		4	settlements
תל אביב	Q33935	272	Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	32.08	34.78		4	settlements
באלטימאָר	Q5092	515	Baltimore (Md.)	בולטימור (מרילנד)	39.286388888889	-76.615		3	settlements
בודאפּעסט	Q1781	513	Budapest (Hungary)	בודפסט (הונגריה)	47.498333333	19.040833333		3	settlements
בוענאָס-אַיירעס	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444		3	settlements
בענדער	Q192176	622	Bender (Moldova)	בנדרי (מולדובה)	46.833333333333	29.483333333333	Bender	3	settlements
בערן	Q70	686	Bern (Switzerland)	ברן (שווייץ)	46.94809	7.44744	Bern	3	settlements
בריסל	Q239	575	Brussels (Belgium)	בריסל (בלגיה)	50.8466666666667	4.35166666666667		3	settlements
גאָלאַץ		9622	Galați (Romania : Județ)	גאלאץ (רומניה : מחוז)				3	settlements
דניעפּראָפּיעטראָווסק	Q43295	14589	Villeneuve-d'Ascq (France)	וילנב ד'אסק (צרפת)	50.622777777778	3.1441666666667	Dnipro	3	settlements
האַוואַנאַ	Q1563	7527	Havana (Cuba)	הוואנה (קובה)	23.136666666667	-82.358888888889	Havana	3	settlements
האַמבורג	Q1055	994	Hamburg (Germany)	המבורג (גרמניה)	53.55	10.0	Hamburg	3	settlements
וואַרשא	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111	Warsaw	3	settlements
וויטעבּסק	Q102217	942	Vitsebsk (Belarus)	ויטבסק (בלארוס)	55.183333333333	30.166666666667		3	settlements
וולאַצלאַוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)	52.65	19.05	Włocławek	3	settlements
טאַראַנטאָ	Q172	753	Toronto (Ont.)	טורונטו (אונטריו)	43.670277777778	-79.386666666667		3	settlements
טאַרנאָוו	Q102317	398	Kielce (Poland)	קילץ (פולין)	50.8725	20.631944444444	Tarnów	3	settlements
טאָמאַשאָוו	Q911009	687	Tomaszów Lubelski (Poland)	טומשוב לובלסקי (פולין)	50.45	23.416666666667		3	settlements
טיפליס	Q994	806	Tʻbilisi (Georgia)	טביליסי (גאורגיה)	41.7225	44.7925	Tbilisi	3	settlements
טשעלסי	Q743535	7129	Chelsea (London, England)	צ'לסי (לונדון, אנגליה)	51.4875	-0.1684	Chelsea	3	settlements
יאַס	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889		3	settlements
יאָהאַנעסבורג	Q34647	813	Johannesburg (South Africa)	יוהנסבורג (דרום אפריקה)	-26.204361111111	28.041638888889		3	settlements
יאָס'	Q46852	669	Iași (Romania)	יאסי (רומניה)	47.162222222222	27.588888888889	Iași	3	settlements
כאָסטאָן	Q100	516	Boston (Mass.)	בוסטון (מסצ'וסטס)	42.3602777777778	-71.0577777777778	Boston	3	settlements
לאדזש	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667		3	settlements
לויוויטש	Q109992	13898	Łowicz (Poland)	לוביץ' (פולין)	52.1	19.933333333333	Łowicz	3	settlements
לידע	Q241475	130	Lida (Belarus)	לידה (בלארוס)	53.8955555555556	25.2958333333333	Lida	3	settlements
מאַנטשעסטער	Q18125	245	Manchester (England)	מנצ'סטר (אנגליה)	53.466666666667	-2.2333333333333		3	settlements
מאַריענבאַד	Q523469	9969	Mariánské Lázně (Czech Republic)	מריינסקה לאזנה (צ'כיה)	49.964703891769	12.701249703911	Mariánské Lázně	3	settlements
מינכן	Q1726	234	Munich (Germany)	מינכן (גרמניה)	48.1375	11.575	Munich	3	settlements
ניו-יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		3	settlements
ניוּ-יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		3	settlements
סאַנדאמיר	Q193177	10034	Sandomierz (Poland)	סנדומיז' (פולין)	50.683333333333	21.75	Sandomierz	3	settlements
סטאָניסלאָוואָוו	Q156726	526	Stanislav (Ukraine)	סטניסלב (אוקראינה)	48.922777777778	24.710555555556		3	country;settlements
סקאַלאַ	Q969475	8001	Skala-Podilʹsʹka (Ukraine)	סקאלה-פודילסקה (אוקראינה)	48.851666666667	26.201111111111		3	venues
פּאָלטאָוואַ	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	3	settlements
פּאָלטאָוואָ	Q156747	511	Poltava (Ukraine)	פולטבה (אוקראינה)	49.5894444444444	34.5513888888889	Poltava	3	settlements
פּלאָצק	Q104725	413	Płock (Poland)	פלוצק (פולין)	52.55	19.7		3	settlements
קאַאייראָ	Q85	665	Cairo (Egypt)	קהיר (מצרים)	30.0444444444444	31.2358333333333	Cairo	3	settlements
קאַאיראָ	Q85	665	Cairo (Egypt)	קהיר (מצרים)	30.0444444444444	31.2358333333333	Cairo	3	province;settlements
קהלה	Q550808	18682	Kahla (Germany)	קהלה (גרמניה)	50.800833333333	11.5875		3	venues
קליוולענד	Q5083	7721	Seattle (Wash.)	סיאטל (ושינגטון)	47.60621	-122.33207	Cleveland	3	settlements
ראָסטאָוו	Q908	9052	Rostov-na-Donu (Russia)	רוסטוב על הדון	47.2225	39.71	Rostov-on-Don	3	settlements
שול	Q2615865	22784	Siauliai (Lithuania : Ghetto)	שול (ליטא : גיטו)	55.9266	23.326		3	venues
Detroit	Q12439	903	Detroit (Mich.)	דטרויט (מישיגן)	42.331666666667	-83.0475		2	venues
אַטלאַנטאָ	Q23556	711	Atlanta (Ga.)	אטלנטה (ג'ורג'יה)	33.756944444444	-84.390277777778	Atlanta	2	settlements
אַמסטערדאָם	Q727	550	Amsterdam (Netherlands)	אמסטרדם (הולנד)	52.3727777777778	4.89361111111111	Amsterdam	2	settlements
אַנטווערפּן	Q12892	643	Antwerp (Belgium)	אנטורפן (בלגיה)	51.2211111111111	4.39972222222222	Antwerp	2	settlements
אַנטווערפּען	Q12892	643	Antwerp (Belgium)	אנטורפן (בלגיה)	51.2211111111111	4.39972222222222	Antwerp	2	settlements
אָדעסע	Q1874	740	Odesa (Ukraine)	אודסה (אוקראינה)	46.47747	30.73262	Odesa	2	settlements
איזמאַאיל	Q147739	15491	Izmaïl (Ukraine)	איזמאיל (אוקראינה)	45.3581388888889	28.8455833333333	Izmail	2	settlements
"ב""א"	Q1486	510	Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	-34.599722222222	-58.381944444444	Buenos Aires	2	settlements
בּוקאַרעסט	Q19660	656	Bucharest (Romania)	בוקרסט (רומניה)	44.4133611111111	26.0977777777778		2	settlements
באַראַנאָוויטש	Q237655	11689	Baranavichy (Belarus)	ברנוביץ' (בלארוס)	53.116666666667	25.983333333333	Baranavichy	2	settlements
בודאַפעסט	Q1781	513	Budapest (Hungary)	בודפסט (הונגריה)	47.498333333	19.040833333		2	settlements
בופֿאָלאָ	Q40435	361	Buffalo (N.Y.)	באפלו (ניו יורק)	42.8863888888889	-78.8780555555556	Buffalo	2	settlements
ביראָבידזשאַן	Q7769	6905	Birobidzhan (Russia)	בירוביג'אן (רוסיה)	48.783333333333	132.93333333333	Birobidzhan	2	settlements
ברעסלוי	Q1799	951	Wrocław (Poland)	ורוצלב (פולין)	51.11	17.0325		2	settlements
גאָלדינגען	Q155281	14895	Kuldīga (Latvia)	קולדיגה (לטביה)	56.967222222222	21.97	Kuldīga	2	settlements
דימונה	Q152396	921	Dimona (Israel)	דימונה (ישראל)	31.07	35.03	Dimona	2	settlements
דענווער	Q16554	972	Denver (Colo.)	דנוור (קולורדו)	39.739166666667	-104.98472222222		2	settlements
דרעזדען	Q1731	627	Dresden (Germany)	דרזדן (גרמניה)	51.05089	13.73832	Dresden	2	settlements
האַמעל	Q2678	10963	Homelʹ (Belarus)	הומל (בלארוס)	52.441666666667	30.983333333333	Homel	2	settlements
האַרלעם	Q41183	794	Aleppo (Syria)	חלב (סוריה)	36.2	37.16	Harlem	2	settlements
האָליוואוד	Q34006	6953	Hollywood (Los Angeles, Calif.)	הוליווד (לוס אנג'לס, קליפורניה)	34.0983333333333	-118.326666666667	Hollywood	2	settlements
וואַרשאָ	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111	Warsaw	2	settlements
וואָלאָזשין	Q200876	684	Valozhyn (Belarus)	וולוז'ין (בלארוס)	54.083333333333	26.516666666667	Valozhyn	2	settlements
וואָרשע	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111		2	settlements
וויליאַמסבורג	Q492346	7707	Williamsburg (Va.)	יליאמסבורג (וירג'יניה)	37.2708	-76.7069	Williamsburg	2	settlements
זשענעווע	Q71	955	Geneva (Switzerland)	ז'נבה (שווייץ)	46.2	6.15	Geneva	2	settlements
טאָמסק	Q5687	73813	Jericho (West Bank)	יריחו (יהודה ושומרון)	31.856111111111	35.463055555556	Tomsk	2	settlements
טאָרנאָפּאָל	Q156743	11525	Ternopilʹ (Ukraine)	טרנופול (אוקראינה)	49.566666666667	25.6		2	settlements
יאָהאָנעסבורג	Q34647	813	Johannesburg (South Africa)	יוהנסבורג (דרום אפריקה)	-26.204361111111	28.041638888889		2	settlements
ישראָל	Q801	697	Israel	ישראל	31.0	35.0		2	countries;venues
יפֿו	Q180294	629	Jaffa (Tel Aviv-Yafo, Israel)	יפו (תל אביב-יפו, ישראל)	32.052222222222	34.753055555556		2	settlements
לאַנדאָן	Q84	688	London (England)	לונדון (אנגליה)	51.507222222222	-0.1275		2	province;settlements
לאָדז	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667	Łódź	2	settlements
לידז	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667	Łódź	2	settlements
לייפּציק	Q2079	579	Leipzig (Germany)	ליפציג (גרמניה)	51.34	12.375	Leipzig	2	settlements
ליסאַבאָן	Q597	136	Lisbon (Portugal)	ליסבון (פורטוגל)	38.708042	-9.139016	Lisbon	2	settlements
לענינגראַד	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		2	settlements
מאַקאַראָוו	Q2641614	27178	Makariv (Ukraine)	מקריב (אוקראינה)	50.466666666667	29.816666666667	Makariv	2	settlements
